elapsed, window, total, successful, failed
5.000033, 5.000033, 38888, 34972, 3916
10.000028, 4.999995, 38308, 35062, 3246
15.000011, 4.999983, 38419, 35472, 2947
20.000019, 5.000008, 38736, 36182, 2554
25.000018, 4.999999, 38762, 36650, 2112
30.000211, 5.000193, 38589, 36722, 1867
35.000012, 4.999801, 38764, 37006, 1758
40.000113, 5.000101, 38777, 37155, 1622
45.000013, 4.9999, 38784, 37270, 1514
50.000051, 5.000038, 38587, 37203, 1384
55.000233, 5.000182, 38744, 37535, 1209
60.000016, 4.999783, 38852, 37656, 1196
65.000171, 5.000155, 38883, 37821, 1062
70.000033, 4.999862, 38764, 37739, 1025
75.000235, 5.000202, 38743, 37661, 1082
80.000586, 5.000351, 38773, 37720, 1053
85.000026, 4.99944, 38875, 37998, 877
90.000146, 5.00012, 38697, 37764, 933
95.000027, 4.999881, 38722, 37946, 776
100.000158, 5.000131, 38831, 38154, 677
105.000102, 4.999944, 38781, 38176, 605
110.000035, 4.999933, 38654, 38052, 602
115.000041, 5.000006, 38849, 38292, 557
120.000019, 4.999978, 38884, 38486, 398
125.000032, 5.000013, 38750, 38292, 458
130.00017, 5.000138, 38722, 38295, 427
135.000009, 4.999839, 38886, 38461, 425
140.000261, 5.000252, 38744, 38303, 441
145.000066, 4.999805, 38645, 38215, 430
150.000034, 4.999968, 38772, 38308, 464
155.000019, 4.999985, 38651, 38168, 483
160.000104, 5.000085, 38795, 38308, 487
165.000025, 4.999921, 38777, 38398, 379
170.000289, 5.000264, 38598, 38228, 370
175.000016, 4.999727, 38690, 38254, 436
180.00002, 5.000004, 38570, 38066, 504
185.000101, 5.000081, 38235, 37780, 455
190.000154, 5.000053, 38290, 37866, 424
195.000152, 4.999998, 38388, 38009, 379
200.000021, 4.999869, 38583, 38142, 441
205.000156, 5.000135, 38523, 38037, 486
210.000126, 4.99997, 38634, 38102, 532
215.000044, 4.999918, 38650, 38167, 483
220.000032, 4.999988, 38627, 38150, 477
225.000123, 5.000091, 38435, 37887, 548
230.000023, 4.9999, 38550, 38074, 476
235.000008, 4.999985, 38688, 38220, 468
240.000011, 5.000003, 38602, 38117, 485
245.000006, 4.999995, 38654, 38156, 498
250.000046, 5.00004, 38580, 38130, 450
255.000046, 5.0, 38609, 38121, 488
260.000038, 4.999992, 38648, 38206, 442
265.000108, 5.00007, 38485, 38131, 354
270.000085, 4.999977, 38474, 38055, 419
275.000072, 4.999987, 38588, 38030, 558
280.000011, 4.999939, 38442, 38037, 405
285.00002, 5.000009, 38557, 38233, 324
290.000078, 5.000058, 38435, 38093, 342
295.000129, 5.000051, 38418, 37947, 471
300.000138, 5.000009, 38487, 38083, 404
301.01858, 1.018442, 7550, 7451, 99
