elapsed, window, total, successful, failed
5.000069, 5.000069,1713126,1581675,131451
10.000009, 4.99994,1527774,1457672,70102
15.000054, 5.000045,1522657,1471136,51521
20.000032, 4.999978,1480159,1437504,42655
25.000127, 5.000095,1472952,1434033,38919
30.000043, 4.999916,1490537,1454773,35764
35.00003, 4.999987,1482505,1449216,33289
40.000248, 5.000218,1456879,1426637,30242
45.000072, 4.999824,1474642,1444676,29966
50.000033, 4.999961,1463100,1434188,28912
55.000031, 4.999998,1451600,1421075,30525
60.000016, 4.999985,1468158,1441291,26867
65.000024, 5.000008,1446767,1419270,27497
70.000072, 5.000048,1434894,1406819,28075
75.000131, 5.000059,1428050,1400155,27895
80.000114, 4.999983,1422224,1394384,27840
85.000134, 5.00002,1416620,1389016,27604
90.00001, 4.999876,1395120,1369749,25371
95.000048, 5.000038,1404187,1377437,26750
100.000194, 5.000146,1388892,1361936,26956
105.00004, 4.999846,1383552,1358809,24743
110.00005, 5.00001,1361314,1336347,24967
115.000028, 4.999978,1355945,1330633,25312
120.00004, 5.000012,1357364,1333872,23492
125.000019, 4.999979,1362838,1338494,24344
130.000011, 4.999992,1355796,1332164,23632
135.000172, 5.000161,1342601,1318317,24284
140.000046, 4.999874,1332581,1308193,24388
145.000051, 5.000005,1322816,1300231,22585
150.000012, 4.999961,1326067,1304161,21906
155.000013, 5.000001,1323701,1302470,21231
160.000049, 5.000036,1315061,1293692,21369
165.000104, 5.000055,1306378,1285577,20801
170.000143, 5.000039,1302276,1281851,20425
175.000021, 4.999878,1295455,1276083,19372
180.000621, 5.0006,1289860,1270059,19801
185.000052, 4.999431,1290655,1270037,20618
190.000137, 5.000085,1280216,1260449,19767
195.000033, 4.999896,1239976,1221805,18171
200.000011, 4.999978,1287673,1269953,17720
205.000027, 5.000016,1265366,1246034,19332
210.000044, 5.000017,1261855,1243734,18121
215.000012, 4.999968,1258525,1240112,18413
220.000012, 5.0,1247851,1229605,18246
225.000105, 5.000093,1250024,1232333,17691
230.000292, 5.000187,1237981,1220368,17613
235.000093, 4.999801,1233924,1217235,16689
240.000105, 5.000012,1232003,1215248,16755
245.000092, 4.999987,1229851,1213213,16638
250.000084, 4.999992,1225568,1208684,16884
255.000009, 4.999925,1217204,1200169,17035
260.000421, 5.000412,1227498,1211232,16266
265.000015, 4.999594,1220971,1204781,16190
270.000011, 4.999996,1213113,1197196,15917
275.000016, 5.000005,1210161,1194103,16058
280.000013, 4.999997,1216552,1200331,16221
285.000014, 5.000001,1210097,1194200,15897
290.000012, 4.999998,1193504,1178328,15176
295.000037, 5.000025,1189864,1174896,14968
300.000175, 5.000138,1199449,1184316,15133
301.025044, 1.024869,238795,235154,3641

