elapsed, window, total, successful, failed
5.000136, 5.000136, 64230, 46290, 17940
10.000089, 4.999953, 62750, 46261, 16489
15.000078, 4.999989, 62275, 45836, 16439
20.00023, 5.000152, 63464, 47532, 15932
25.000027, 4.999797, 62381, 46484, 15897
30.000085, 5.000058, 62938, 47049, 15889
35.000049, 4.999964, 62985, 47234, 15751
40.000037, 4.999988, 63295, 47557, 15738
45.000143, 5.000106, 62433, 46838, 15595
50.000007, 4.999864, 62549, 46969, 15580
55.000015, 5.000008, 61702, 46283, 15419
60.000036, 5.000021, 63358, 47590, 15768
65.000118, 5.000082, 61320, 45954, 15366
70.000012, 4.999894, 63395, 47685, 15710
75.00001, 4.999998, 63459, 47769, 15690
80.000021, 5.000011, 62460, 47139, 15321
85.000131, 5.00011, 62961, 47378, 15583
90.000132, 5.000001, 62637, 47150, 15487
95.000009, 4.999877, 61932, 46368, 15564
100.000095, 5.000086, 62285, 46832, 15453
105.000085, 4.99999, 62226, 46802, 15424
110.00002, 4.999935, 62612, 46954, 15658
115.000073, 5.000053, 61892, 46288, 15604
120.000057, 4.999984, 63071, 47517, 15554
125.000128, 5.000071, 62080, 46560, 15520
130.000782, 5.000654, 63288, 47429, 15859
135.000032, 4.99925, 62046, 46700, 15346
140.000038, 5.000006, 61680, 46253, 15427
145.000067, 5.000029, 61785, 46266, 15519
150.000016, 4.999949, 61768, 46534, 15234
155.000184, 5.000168, 62445, 46744, 15701
160.000789, 5.000605, 61645, 46206, 15439
165.000209, 4.99942, 62579, 47129, 15450
170.000132, 4.999923, 61240, 45859, 15381
175.000254, 5.000122, 63069, 47522, 15547
180.000054, 4.9998, 62705, 47218, 15487
185.000204, 5.00015, 62336, 46902, 15434
190.000018, 4.999814, 61437, 45948, 15489
195.00011, 5.000092, 61715, 46306, 15409
200.000129, 5.000019, 61495, 46035, 15460
205.000408, 5.000279, 62428, 46777, 15651
210.00002, 4.999612, 61338, 46104, 15234
215.000874, 5.000854, 62198, 46788, 15410
220.000278, 4.999404, 61346, 45977, 15369
225.000158, 4.99988, 61389, 45717, 15672
230.000191, 5.000033, 61065, 45747, 15318
235.000141, 4.99995, 60453, 44923, 15530
240.000008, 4.999867, 62561, 47467, 15094
245.000033, 5.000025, 61967, 46512, 15455
250.000185, 5.000152, 60947, 45829, 15118
255.000218, 5.000033, 61465, 46188, 15277
260.000058, 4.99984, 61438, 46256, 15182
265.000123, 5.000065, 59829, 44747, 15082
270.00057, 5.000447, 61866, 46494, 15372
275.000188, 4.999618, 60583, 45364, 15219
280.000212, 5.000024, 60462, 45137, 15325
285.000056, 4.999844, 61555, 46104, 15451
290.00004, 4.999984, 60325, 45075, 15250
295.00009, 5.00005, 61252, 45955, 15297
300.000007, 4.999917, 61803, 46492, 15311
301.042749, 1.042742, 12164, 9126, 3038
