elapsed, window, total, successful, failed
5.000368, 5.000368, 60194, 47657, 12537
10.000069, 4.999701, 58075, 48350, 9725
15.000025, 4.999956, 59049, 49526, 9523
20.000533, 5.000508, 60226, 50875, 9351
25.000027, 4.999494, 56509, 47818, 8691
30.00031, 5.000283, 56662, 47809, 8853
35.000568, 5.000258, 57199, 48536, 8663
40.000014, 4.999446, 55569, 46957, 8612
45.000047, 5.000033, 58138, 49584, 8554
50.000092, 5.000045, 55110, 46721, 8389
55.000066, 4.999974, 54528, 46472, 8056
60.000135, 5.000069, 54041, 45989, 8052
65.000014, 4.999879, 54166, 45830, 8336
70.000533, 5.000519, 53164, 45297, 7867
75.000052, 4.999519, 53201, 45086, 8115
80.00001, 4.999958, 51706, 44035, 7671
85.000179, 5.000169, 52729, 45018, 7711
90.000043, 4.999864, 52559, 44636, 7923
95.00004, 4.999997, 52615, 44937, 7678
100.000009, 4.999969, 53255, 45529, 7726
105.000048, 5.000039, 49129, 41558, 7571
110.00045, 5.000402, 50166, 42812, 7354
115.000075, 4.999625, 51680, 43878, 7802
120.00008, 5.000005, 48978, 41677, 7301
125.000016, 4.999936, 49158, 42016, 7142
130.000056, 5.00004, 50259, 42727, 7532
135.000227, 5.000171, 49258, 42070, 7188
140.000161, 4.999934, 47546, 40459, 7087
145.000294, 5.000133, 48750, 41342, 7408
150.000104, 4.99981, 48420, 41273, 7147
155.00006, 4.999956, 48016, 41001, 7015
160.000007, 4.999947, 47914, 40398, 7516
165.000693, 5.000686, 48328, 41243, 7085
170.000088, 4.999395, 47606, 40504, 7102
175.000007, 4.999919, 47058, 40120, 6938
180.000156, 5.000149, 45499, 38439, 7060
181.023736, 1.02358, 9137, 7696, 1441
